gene,TCGA-A6-2671-11A-01R-A32Z-07,TCGA-A6-2675-11A-01R-1723-07,TCGA-A6-2676,TCGA-A6-2678-11A-01R-A32Z-07,TCGA-A6-2679-11A-01R-A32Z-07,TCGA-A6-2680-11A-01R-A32Z-07,TCGA-A6-2681,TCGA-A6-2682-11A-01R-A32Z-07,TCGA-A6-2683,TCGA-A6-2683-11A-01R-A32Z-07,TCGA-A6-2684-11A-01R-A32Z-07,TCGA-A6-2685-11A-01R-A32Z-07,TCGA-A6-2686-11A-01R-A32Z-07,TCGA-A6-5656,TCGA-A6-5659-11A-01R-1653-07,TCGA-A6-5662-11A-01R-1653-07,TCGA-A6-5665-11A-01R-1653-07,TCGA-A6-5667-11A-01R-1723-07,TCGA-A6-6780,TCGA-A6-A565,TCGA-AA-3489-11A-01R-1839-07,TCGA-AA-3496-11A-01R-1839-07,TCGA-AA-3511-11A-01R-1839-07,TCGA-AA-3514-11A-01R-A32Z-07,TCGA-AA-3516-11A-01R-A32Z-07,TCGA-AA-3517,TCGA-AA-3517-11A-01R-A32Z-07,TCGA-AA-3518-11A-01R-1672-07,TCGA-AA-3520-11A-01R-A32Z-07,TCGA-AA-3522-11A-01R-A32Z-07,TCGA-AA-3525-11A-01R-A32Z-07,TCGA-AA-3527-11A-01R-A32Z-07,TCGA-AA-3531-11A-01R-A32Z-07,TCGA-AA-3534-11A-01R-A32Z-07,TCGA-AA-3554,TCGA-AA-3560,TCGA-AA-3655-11A-01R-1723-07,TCGA-AA-3660-11A-01R-1723-07,TCGA-AA-3662-11A-01R-1723-07,TCGA-AA-3663-11A-01R-1723-07,TCGA-AA-3679,TCGA-AA-3688,TCGA-AA-3697-11A-01R-1723-07,TCGA-AA-3712-11A-01R-1723-07,TCGA-AA-3713-11A-01R-1723-07,TCGA-AA-3715,TCGA-AA-3833,TCGA-AA-3845,TCGA-AA-3866,TCGA-AA-3941,TCGA-AA-3970,TCGA-AA-3972,TCGA-AA-A00A,TCGA-AA-A00Q,TCGA-AA-A01G,TCGA-AA-A01Q,TCGA-AD-A5EK,TCGA-AY-4071,TCGA-AZ-6598-11A-01R-1774-07,TCGA-AZ-6599-11A-01R-1774-07,TCGA-AZ-6600-11A-01R-1774-07,TCGA-AZ-6601-11A-01R-1774-07,TCGA-AZ-6603-11A-02R-1839-07,TCGA-AZ-6605-11A-01R-1839-07,TCGA-CA-6715,TCGA-CA-6719,TCGA-CK-4951,TCGA-CK-6747,TCGA-CM-4747,TCGA-D5-5540,TCGA-D5-5541,TCGA-D5-6529,TCGA-D5-6539,TCGA-D5-6541,TCGA-DM-A0X9,TCGA-DM-A1D7,TCGA-F4-6704-11A-01R-1839-07,TCGA-G4-6310,TCGA-G4-6586,TCGA-G4-6625,TCGA-G4-6628,TCGA-NH-A50T
ENSG00000000005.5,28,15,0,61,52,22,27,64,11,73,46,85,54,108,40,42,41,42,14,16,32,34,19,83,47,44,91,53,48,78,17,64,36,53,1,40,30,34,33,45,13,26,23,24,77,4,11,3,75,2,10,9,11,140,14,12,9,80,62,15,25,22,32,18,83,55,8,321,18,27,34,67,28,13,46,209,85,23,3,7,7,101
ENSG00000000460.15,152,147,233,231,222,110,266,241,190,306,152,405,310,450,81,165,122,189,1436,498,234,136,274,368,121,293,275,135,272,415,212,275,202,195,184,202,208,186,146,186,198,632,413,188,256,221,130,221,371,142,260,363,147,191,202,121,606,191,277,294,174,229,201,111,711,514,246,629,121,1581,662,682,748,275,1098,571,458,231,348,464,607,1105
ENSG00000001617.10,1208,801,450,1144,791,1362,1741,975,1084,936,721,1258,772,1055,255,738,326,1092,437,2709,800,502,1479,747,651,867,1083,887,1073,1034,695,1314,786,1046,1205,603,1365,861,1522,810,1134,2087,1583,1254,319,736,935,280,547,1397,679,1419,1684,305,380,1673,1778,972,1192,1537,801,1442,1303,884,1965,1943,386,3767,866,346,1897,788,2581,2400,2344,1115,1204,433,4024,1465,946,1582
ENSG00000001630.14,374,891,709,415,644,464,692,530,806,688,378,1073,810,399,110,172,313,432,718,453,602,208,353,417,421,184,617,329,705,632,353,834,648,371,551,70,313,198,254,217,123,337,360,396,228,193,186,77,347,263,119,100,290,204,197,99,426,385,356,1374,433,472,504,122,1200,691,183,1578,303,260,890,541,624,325,513,545,1011,279,171,404,506,497
ENSG00000003137.7,387,275,155,667,138,436,53,183,12,408,188,301,538,26,335,434,233,702,9,108,116,162,227,220,264,87,303,369,502,668,137,199,206,240,102,28,111,60,229,305,16,21,224,289,144,55,83,66,81,25,27,91,105,15,46,11,16,24,380,371,314,676,310,210,41,138,41,182,26,22,96,280,212,162,23,34,463,19,8,112,172,62
ENSG00000003987.12,67,65,6,62,44,99,2,53,1,65,49,71,69,46,42,73,60,51,95,72,90,63,89,62,43,21,76,57,49,77,40,82,65,47,19,6,82,57,87,57,2,27,77,68,34,8,13,33,13,16,13,20,25,20,7,18,45,16,100,66,59,66,51,81,44,17,40,37,3,25,24,56,19,32,67,41,74,54,39,33,32,44
ENSG00000004700.14,603,736,495,784,732,617,307,739,115,852,482,808,632,525,262,619,382,593,4750,1487,1019,659,853,901,506,360,1044,527,978,1030,586,954,575,619,277,237,681,385,585,571,133,405,826,547,544,95,218,583,527,132,255,378,297,334,334,194,676,255,644,765,526,828,891,1158,1223,1279,492,1191,141,1473,1565,2058,900,1647,1695,705,1241,423,525,1158,783,866
ENSG00000005243.8,430,721,80,346,197,400,250,184,23,155,126,220,259,113,75,619,169,181,56,393,839,608,228,121,358,49,296,316,268,246,146,406,308,179,162,93,582,231,309,500,78,111,518,207,298,113,163,53,166,54,55,70,118,72,35,24,183,72,562,306,229,407,970,1425,188,303,513,150,59,192,322,407,92,447,146,224,687,531,150,203,184,81
ENSG00000005249.11,818,1398,885,1497,847,1355,80,1043,5,1228,656,1161,1354,64,473,1614,641,794,1028,799,1920,758,988,949,827,51,1238,732,1157,1268,811,1026,909,956,87,34,1309,942,1311,1516,63,87,1446,968,924,35,620,222,221,75,190,84,64,55,40,227,112,140,1226,1242,1026,1436,1757,1035,50,231,208,204,20,105,219,555,320,187,914,677,2652,174,175,601,1748,76
ENSG00000005483.18,5922,4883,815,8064,5085,4788,1868,5786,1007,7719,5103,7087,7538,4036,4048,4529,6055,5854,5239,7833,2949,2931,6420,6715,5992,1875,9587,5814,8309,9268,5931,7661,6772,6770,1230,1174,3926,3356,4507,3705,1009,1461,4283,5658,2199,547,1132,1445,2021,1462,835,1520,1611,2249,1463,1971,7324,2210,5537,6313,4472,6553,4166,4932,4558,5726,1193,5171,673,1767,7376,5011,5863,5975,4993,4492,6892,4471,2264,4068,3222,4733
ENSG00000005889.14,1084,1114,607,2156,1355,2052,604,1200,224,1888,1365,1700,1830,977,553,1081,1357,1499,4059,2474,1022,1136,917,1638,1687,455,1479,1537,2358,1596,920,2241,1797,1518,775,582,986,1064,1443,894,226,764,992,1126,726,221,651,871,618,693,409,414,406,720,446,440,1706,470,1660,1177,702,1251,1559,1290,1205,624,1189,1388,116,685,2087,1309,1205,1435,2178,916,1047,890,1496,1802,1116,1129
ENSG00000006007.10,9963,7721,1895,10937,7016,8396,2851,11386,1148,11828,9250,8073,12788,4009,6040,6564,7595,8358,7871,8229,7330,4538,7384,9936,13311,1434,11301,10526,14100,10812,7525,11758,10495,7654,1745,2317,10002,7117,6496,6307,2301,3224,7307,7253,10431,834,3410,2420,3318,2411,2487,2321,1534,3468,2814,1895,4070,3137,7105,7791,6859,6478,5729,6534,4541,5258,2978,6739,1349,5035,5803,5302,9113,7055,5095,7946,8797,4208,4495,4960,4756,4511
ENSG00000006047.11,1457,516,568,1783,1426,975,720,2047,623,1128,2220,936,2023,743,1125,603,1198,1254,1393,1012,254,452,246,2076,1894,284,1217,800,1880,2627,1439,1198,1980,1842,579,252,510,524,456,788,277,578,593,1677,1773,132,348,405,302,442,187,560,221,580,556,1281,159,124,1631,1057,1459,804,403,283,554,540,150,1676,139,886,451,667,1968,168,2513,1231,718,346,1259,1593,45,2620
ENSG00000006607.12,3401,2304,1102,4737,3874,3221,1401,4575,1092,4987,3377,5102,4889,3321,1985,1944,3891,3942,7823,5379,2137,1448,3951,5882,4132,1657,4858,3225,6191,6395,3764,5484,5249,3871,1690,809,2661,2173,2804,2511,864,1824,3569,3592,2111,474,1376,1152,1496,1638,1079,995,1713,1632,1679,696,4360,1233,3527,5189,3529,3319,2689,1345,5898,2374,1039,5238,410,2242,5421,4791,4324,3500,5523,3833,4477,1666,3300,2562,3697,4237
ENSG00000006695.9,1596,1159,798,1931,1268,1761,492,2006,309,2084,1420,1954,1903,614,774,958,885,1663,1634,1406,1122,707,1452,1644,1014,338,1876,1526,2058,2254,1341,1897,1513,1424,752,354,1507,1036,1245,1301,388,481,1684,1334,1651,268,498,313,451,431,370,463,851,653,377,653,794,571,1379,2013,1532,1465,1133,1130,1156,1088,601,2148,206,567,882,1516,1164,1231,1975,990,1600,586,1651,1020,1231,2096
ENSG00000006740.15,5316,1596,175,6694,4251,336,272,5715,215,4975,5302,5044,6492,46,2038,2231,4813,6764,1907,1616,1758,1303,4498,3991,3116,341,5721,5051,7171,8302,3975,6591,3851,4246,408,239,4255,3180,3762,3560,529,543,2319,4313,3062,85,466,294,674,44,509,143,452,635,287,206,904,905,3957,4562,6038,4283,1242,562,2001,823,737,2832,185,232,1205,887,2293,994,1288,1588,3687,275,689,1426,1282,899
ENSG00000008056.11,122,179,20,87,98,150,51,62,6,55,48,155,61,7,31,193,60,59,0,76,106,126,78,57,146,33,149,105,96,71,45,122,75,61,66,25,81,32,78,154,52,164,133,37,17,22,58,12,53,32,46,43,9,14,7,8,144,47,359,142,113,100,161,326,16,321,69,70,26,62,29,120,24,63,190,58,143,85,140,74,22,144
